characters_archaeologe;Archaeologe
spokentexts_a10_schatzkammer_seq_a10_schatzkammer_tresor_wird_geoeffnet_st_34;Je ne vais pas vous déranger très longtemps. Je vais juste jeter un coup d'oeil et ensuite j'irai me reposer histoire d'être en forme ce soir.
texts_a10_wachstube_ausgang_mo_leave_1__2;Sortir
sequences_a10_wachstube_ausgang_leave_1#1;[Ohi heads to the door the guardsman pulls out his gun.]
spokentexts_a10_wachstube_ausgang_leave_1_st_1;Où croyez-vous aller ?
spokentexts_a10_wachstube_ausgang_leave_1_st_2;Je cherche un moyen d'entrer dans la salle au trésor. Vous devriez faire de même.
sequences_a10_wachstube_ausgang_leave_1#4;[Ohi leaves the guardsman behind, not caring about his gun, and goes outside.]
sequences_a10_wachstube_ausgang_leave_2#1;[Ohi goes outside.]
texts_a10_wachstube_bildschirm_mo_ex_1__2;Examiner les appareils
spokentexts_a10_wachstube_bildschirm_ex_1_st_1;Un moniteur. Surement pour visionner les images des caméras de surveillance.
spokentexts_a10_wachstube_bildschirm_ex_1_st_2;Il y a cinq boutons ici, trois d'entre eux portent un nom.
sequences_a10_wachstube_bildschirm_ex_1#3;[Ohi pushes the first button. A picture appears on the monitor.]
spokentexts_a10_wachstube_bildschirm_ex_1_st_3;Caméra 1.
sequences_a10_wachstube_bildschirm_ex_1#5;[Ohi pushes the second button. Another picture appears.]
spokentexts_a10_wachstube_bildschirm_ex_1_st_4;Caméra 2.
sequences_a10_wachstube_bildschirm_ex_1#7;[Ohi pushes the third button. No picture appears.]
spokentexts_a10_wachstube_bildschirm_ex_1_st_5;Caméra 3.
spokentexts_a10_wachstube_bildschirm_ex_1_st_6;Ça devrait être celle de la salle au trésor. Comme je le pensais, elle n'a pas survécu à l'explosion.
spokentexts_a10_wachstube_bildschirm_ex_2_st_1;Très bien. Comment vais-je... Hmm.
sequences_a10_wachstube_bildschirm_ex_2#2;[Ohi looks at the camera control, finally, uncertainly presses one of the buttons, the videotape winds back.]
sequences_a10_wachstube_bildschirm_ex_2#3;[Everything turns black. Then you see Ohi and the director in the treasure chamber. Ohi pushes another button, the picture freezes.]
spokentexts_a10_wachstube_bildschirm_ex_2_st_2;Fantastique.
sequences_a10_wachstube_bildschirm_ex_2#5;[Ohi pushes another button, the recording continues in the right tempo. The recording has the right tempo, but just a few frames per second.]
sequences_a10_wachstube_bildschirm_ex_2#6;[You can see Ohi and the museum's director. The director is explaining something, then they both leave the room.]
spokentexts_a10_wachstube_bildschirm_ex_2_st_3;Me voilà avec le directeur. Ça commence à devenir excitant.
sequences_a10_wachstube_bildschirm_ex_2#8;[Nothing happens for a brief moment. Suddenly the picture is dark.]
spokentexts_a10_wachstube_bildschirm_ex_2_st_4;Qu'est ce que ?
sequences_a10_wachstube_bildschirm_ex_2#10;[Still all dark. Ohi hits the monitor, as if it was broken.]
spokentexts_a10_wachstube_bildschirm_ex_2_st_5;Vous l'avez cassée !
spokentexts_a10_wachstube_bildschirm_ex_2_st_6;Non, pas du tout!
spokentexts_a10_wachstube_bildschirm_ex_2_st_7;Quelqu'un a dû éteindre la caméra. Ou... Non, elle enregistre toujours mais quelque chose recouvre l'objectif.
sequences_a10_wachstube_bildschirm_ex_2#16;[Suddenly no signal.]
spokentexts_a10_wachstube_bildschirm_ex_2_st_8;Ici ! C'était l'explosion.
spokentexts_a10_wachstube_bildschirm_ex_2_st_9;Hmm.
spokentexts_a10_wachstube_bildschirm_ex_2_st_10;Intéressant...
spokentexts_wachmann_talk_mit_1_st_8;Pourquoi est-ce intéressant ?
spokentexts_wachmann_talk_mit_1_st_9;Quelqu'un était dans la salle au trésor et a rendu la caméra inutilisable.
spokentexts_wachmann_talk_mit_1_st_10;Et ?
spokentexts_wachmann_talk_mit_1_st_11;Et quelques minutes plus tard, l'alarme s'est déclenchée et tout a explosé. Le cambrioleur n'a pas vraiment eu le temps de préparer une frappe chirurgicale, n'est-ce pas ?
spokentexts_a10_wachstube_bildschirm_ex_2_st_15_direction;nachdenklich, 'da ist was dran'
spokentexts_a10_wachstube_bildschirm_ex_2_st_15;Hmm.
spokentexts_wachmann_talk_mit_1_st_13;Une raison de plus d'aller voir ce qui s'est passé dans la salle au trésor.
texts_a10_wachstube_bueroklammer_mo_ex_1;Examiner le bol
texts_a10_wachstube_bueroklammer_mo_inventar_1;Trombone
spokentexts_a10_wachstube_bueroklammer_ex_1_st_1;Hmm. Des accessoires de bureau divers et variés. Même les gardes ne parviennent pas à échapper aux montagnes de paperasse.
sequences_a10_wachstube_bueroklammer_ex_1#4;[Ohi reaches into the bowl, takes out a paper clip and looks at it.]
spokentexts_a10_wachstube_bueroklammer_ex_1_st_2;Un trombone... Ça pourrait m'être utile.
sequences_a10_wachstube_bueroklammer_ex_1#6;[Ohi pockets the paper clip.]
spokentexts_a10_wachstube_bueroklammer_ex_2_st_1;Un trombone est un piètre souvenir de cette aventure, mais c'est toujours mieux que rien !
texts_a10_wachstube_kaffeemaschine_mo_ex_1;Examiner la machine à café
spokentexts_a10_wachstube_kaffeemaschine_ex_1_st_1;Hmm. Quelqu'un a peut être mélangé quelque chose au café pour l'empoisonner.
spokentexts_a10_wachstube_kaffeemaschine_ex_1_st_2;Mais la bosse sur sa tête ne semble pas concorder avec cette hypothèse.
texts_a10_wachstube_schaltkasten_mo_ex_3;Examiner le boîtier de contrôle
texts_a10_wachstube_schaltkasten_mo_use_1;Ouvrir le boîtier en métal
texts_a10_wachstube_schaltkasten_mo_used_mit_bueroklammer;Crocheter la serrure
texts_a10_wachstube_schaltkasten_mo_used_mit_schluessel;Déverrouiller le boîtier
spokentexts__seq_minigame_schaltkasten_gewonnen_st_1;Ha ! Ça devait bien finir par marcher.
spokentexts__seq_minigame_schaltkasten_verloren_st_1;J'ai vraiment besoin d'entrainement. Saleté de serrure.
spokentexts_a10_wachstube_schaltkasten_ex_1_st_1;Un boîtier de contrôle en métal. Je parie que les commandes de l'alarme sont à l'intérieur.
spokentexts_a10_wachstube_schaltkasten_use_3_st_1;Hmm... Des plans du musée. Chaque porte a l'air de dépendre de son propre interrupteur...
spokentexts_a10_wachstube_schaltkasten_ex_3_st_1;Je ne peux rien faire de plus ici.
sequences_a10_wachstube_schaltkasten_use_1#1;[Ohi grabs the control box handle, tries to open it. He shakes it, but the door doesn't open.]
spokentexts_a10_wachstube_schaltkasten_use_1_st_1;Verrouillé.
spokentexts_a10_wachstube_schaltkasten_use_2_st_1;Ce boîtier est verrouillé, et vu qu'il doit contenir les commandes de l'alarme, il ne devrait pas être simple à forcer.
spokentexts_a10_wachstube_schaltkasten_use_3_st_2;Ce devrait être la porte de la salle au trésor !
sequences_a10_wachstube_schaltkasten_use_3#3;[Ohi flips a switch, then looks out of the window and leaves his hand on the switch (Idle).]
sequences_a10_wachstube_schaltkasten_use_3#4;[Cut to the metallic gate. It shakes and the gate slowly starts to lift. But after about 15cm it stops. It seems to be frozen.]
sequences_a10_wachstube_schaltkasten_use_3#5;[Cut back to Ohi.]
sequences_a10_wachstube_schaltkasten_use_3#6;[Ohi still has his hand on the switch. He flips it on and off. One more time! Nothing happens. He takes his hand from the switch and stands there normal again.]
spokentexts_a10_wachstube_schaltkasten_use_3_st_3;Hmm. Voilà.
spokentexts_a10_wachstube_schaltkasten_used_mit_bueroklammer_1_st_1;Et c'est reparti...
sequences_a10_wachstube_schaltkasten_used_mit_bueroklammer_1#2;[Minigame break the lock starts]
sequences_a10_wachstube_schaltkasten_used_mit_schluessel#1;[Ohi slides the key into the lock, turns it and opens the door of the box. Then he pulls out the key and slides it in again.]
texts_a10_wachstube_schluessel_mo_inventar_1;Trousseau de clés
spokentexts_a10_wachstube_schluessel_ex_1_st_1;Les gardes ont plus de clés habituellement, mais j'imagine qu'ils n'en ont pas besoin de beaucoup si ils restent assis toute la journée dans la salle de sécurité.
texts_a10_wachstube_telefon_mo_ex_2;Examiner le téléphone
texts_a10_wachstube_telefon_mo_use_1;Appeler à l'aide
spokentexts_a10_wachstube_telefon_ex_1_st_1;Un téléphone ! Je peux peut être appeler à l'aide ?
spokentexts_a10_wachstube_telefon_ex_2_st_1;Impossible d'appeler à l'aide, la ligne est morte... Le système d'alarme appelle-t-il la police automatiquement ?
spokentexts_a10_wachstube_telefon_ex_2_st_2;Sinon, ou si il a été aussi déconnecté, je ne suis pas certain que quiconque soit au courant de ce qui se passe dans le musée.
spokentexts_a10_wachstube_telefon_ex_2_st_3;J'imagine que personne n'a entendu l'explosion de l'extérieur. La salle au trésor n'a aucune fenêtre. Et les portes en métal qui sont descendues pourrait simplement faire partie d'un test.
sequences_a10_wachstube_telefon_use_1#1;[Ohi picks up the phone, holds it to his ear. Then he presses the switch hook a few times and puts it back again.]
spokentexts_a10_wachstube_telefon_use_1_st_1;Pas de tonalité.
sequences_wachmann_seq_a10_wachstube_betreten_erstmalig#0;[Ohi hurries into the room, freezes. The guardsman immediately bends over the knocked out guard's room guard and takes his pistol.]
spokentexts_wachmann_seq_a10_wachstube_betreten_erstmalig_st_1_direction;geschockt
spokentexts_wachmann_seq_a10_wachstube_betreten_erstmalig_st_1;Officier Oliver !
sequences_wachmann_seq_a10_wachstube_betreten_erstmalig#2;[The guardsman rushes around, jumps to his feet and aims at Ohi.]
spokentexts_wachmann_seq_a10_wachstube_betreten_erstmalig_st_2_direction;im Sinne von 'also SIE waren es'
spokentexts_wachmann_seq_a10_wachstube_betreten_erstmalig_st_2;Ne bougez pas !
texts_direktor_mo_ex_2__3;Regarder le Directeur Mokhtar
texts_direktor_mo_talk_mit_1__2;Parler au Directeur
texts_direktor_mo_talk_mit_1-2;Parler au Directeur Mokhtar
texts_direktor_top_a10_direktor_alarmsystem_tseq_title;Système d'alarme
spokentexts_direktor_top_a10_direktor_alarmsystem_tseq_st_1;Quand le système d'alarme a-t-il été installé ?
spokentexts_direktor_top_a10_direktor_alarmsystem_tseq_st_2;Récemment. Nous avons terminé il y a environ deux semaines.
spokentexts_direktor_top_a10_direktor_alarmsystem_tseq_st_3;Qui l'a installé ?
spokentexts_direktor_top_a10_direktor_alarmsystem_tseq_st_4;Une entreprise italienne spéciale avec l'aide d'artisans locaux.
spokentexts_direktor_top_a10_direktor_alarmsystem_tseq_st_5;Donc beaucoup de gens sont familiers avec le système.
spokentexts_direktor_top_a10_direktor_alarmsystem_tseq_st_6_direction;empört
spokentexts_direktor_top_a10_direktor_alarmsystem_tseq_st_6;Officier ! Je ne peux pas parler pour les italiens, mais je vous assure qu'aucun égyptien ne...
spokentexts_direktor_top_a10_direktor_alarmsystem_tseq_st_7;Non, bien sûr ! Je ne voulais pas suggérer quoi que ce soit de la sorte. Personne ici ne vendrait d'importantes informations, des plans ou autres pour quelques milliers de livres.
texts_direktor_top_a10_direktor_diebstahl_des_auges_tseq_title;Vol de l'Oeil
sequences_direktor_top_a10_direktor_diebstahl_des_auges_tseq#0;[Ohi looks at the huge banners that announce the coming exhibition.]
spokentexts_direktor_top_a10_direktor_diebstahl_des_auges_tseq_st_1;Donc l'exposition va tout de même ouvrir ce soir ?
spokentexts_direktor_top_a10_direktor_diebstahl_des_auges_tseq_st_2;Mais bien sûr !
spokentexts_direktor_top_a10_direktor_diebstahl_des_auges_tseq_st_3;Tout a été arrangé. Les derniers préparatifs sont presque terminés.
spokentexts_direktor_top_a10_direktor_diebstahl_des_auges_tseq_st_4;Mais une des deux pièces sera absente.
spokentexts_direktor_top_a10_direktor_diebstahl_des_auges_tseq_st_5;Une terrible perte. Une tragédie !
spokentexts_direktor_top_a10_direktor_diebstahl_des_auges_tseq_st_6;Cet irremplaçable trésor de la culture égyptienne a été dérobé pour la seconde fois.
spokentexts_direktor_top_a10_direktor_diebstahl_des_auges_tseq_st_7;La seconde fois ?
spokentexts_direktor_top_a10_direktor_diebstahl_des_auges_tseq_st_8;Pardon, croyez-vous vraiment que l'Oeil du Sphinx s'est retrouvé par magie sur les bords de la Tamise ?
texts_direktor_top_a10_direktor_inspektor_tseq_title;Inspecteur Legrand
spokentexts_direktor_top_a10_direktor_inspektor_tseq_st_1;L'Inspecteur Legrand, le Professeur Lucien et l'Officier Oliver supervisent le transport du coffre. Ils devraient arriver sous peu.
spokentexts_direktor_top_a10_direktor_inspektor_tseq_st_2;Je vais jeter un oeil aux environs en attendant.
spokentexts_direktor_top_a10_direktor_inspektor_tseq_st_3;Pensez-vous que c'est vraiment nécessaire ? Le Corbeau est mort après tout !
spokentexts_direktor_top_a10_direktor_inspektor_tseq_st_4;Si vous faîtes référence au Dr Gebhardt, son corps n'a jamais été retrouvé. Même chose pour l'Oeil du Sphinx volé d'ailleurs.
spokentexts_direktor_top_a10_direktor_inspektor_tseq_st_5;C'est un grand honneur que l'Inspecteur s'inquiète pour nous. Mais tout est sous contrôle.
spokentexts_direktor_top_a10_direktor_inspektor_tseq_st_6;Legrand n'est pas aussi inquiet qu'il devrait l'être. Mais je ne suis pas dans le même cas. Le musée est-il fermé ?
spokentexts_direktor_top_a10_direktor_inspektor_tseq_st_7_direction;wichtigtuerisch
spokentexts_direktor_top_a10_direktor_inspektor_tseq_st_7;Oui. Seuls des invités soigneusement sélectionnés peuvent pénétrer dans le musée pendant la préparation du gala.
spokentexts_direktor_top_a10_direktor_inspektor_tseq_st_8_direction;weiß nicht, wie er heißt
spokentexts_direktor_top_a10_direktor_inspektor_tseq_st_8;Évidemment, vous en faîtes partie, Mr... l'officer.
texts_direktor_top_a10_direktor_museum_tseq_title;Musée
spokentexts_direktor_top_a10_direktor_museum_tseq_st_1;Qu'en est-il du bâtiment ? Y a-t-il des passages secrets ? Des salles cachées ou quelque chose comme ça ?
spokentexts_direktor_top_a10_direktor_museum_tseq_st_2;Officier, je pense que vous lisez trop de romans policiers.
spokentexts_direktor_top_a10_direktor_museum_tseq_st_3;C'est un vieux bâtiment avec une histoire excitante.
spokentexts_direktor_top_a10_direktor_museum_tseq_st_4;J'y travaille depuis trente ans et je n'ai jamais entendu quoi que ce soit concernant des passages secrets derrière les murs !
spokentexts_direktor_top_a10_direktor_museum_tseq_st_5;Derrière les murs ?
spokentexts_direktor_top_a10_direktor_museum_tseq_st_6_direction;ertappt, hastig
spokentexts_direktor_top_a10_direktor_museum_tseq_st_6;Ou autre part.
spokentexts_direktor_top_a10_direktor_museum_tseq_st_7;Pas même derrière la statue d'Akhénaton dans le hall principal ?
spokentexts_direktor_top_a10_direktor_museum_tseq_st_8;Nulle part. Je me ferai une joie de vous montrer les plans du bâtiment.
spokentexts_direktor_top_a10_direktor_museum_tseq_st_9;Si les passages secrets figuraient sur les plans, ils ne seraient plus très secrets, vous ne croyez pas ?
texts_direktor_top_a10_direktor_sicherheitssystem_tseq_title;Système de sécurité
spokentexts_direktor_top_a10_direktor_sicherheitssystem_tseq_st_1;Que pouvez-vous me dire concernant le système de sécurité du musée ?
spokentexts_direktor_top_a10_direktor_sicherheitssystem_tseq_st_2;Un des meilleurs du marché !
spokentexts_direktor_top_a10_direktor_sicherheitssystem_tseq_st_3;"Et le second Oeil sera exposé dans notre ""salle au trésor"" spéciale, où la sécurité est renforcée."
spokentexts_direktor_top_a10_direktor_sicherheitssystem_tseq_st_4;Salle au trésor ?
spokentexts_direktor_top_a10_direktor_sicherheitssystem_tseq_st_5;Voyez par vous-même. Sur la droite après l'entrée.
spokentexts_direktor_top_a10_direktor_sicherheitssystem_tseq_st_6;L'Oeil sera autant en sécurité que les Joyaux de la Couronne.
spokentexts_direktor_top_a10_direktor_sicherheitssystem_tseq_st_7;Quelque chose me vient à l'esprit... Le système de sécurité du musée... Qu'avez-vous mis en place ?
texts_direktor_top_a10_direktor_verabschieden_erstmalig_tseq_title;Dire au revoir
spokentexts_direktor_top_a10_direktor_verabschieden_erstmalig_tseq_st_1;Je pense que je vais aller faire un tour dans le musée.
spokentexts_direktor_top_a10_direktor_verabschieden_erstmalig_tseq_st_2;Je vous en prie ! Il y a plein de choses à voir !
spokentexts_direktor_top_a10_direktor_verabschieden_erstmalig_tseq_st_3;Et prévenez moi si vous voyez Grace, d'accord ? J'espère que nous allons la retrouver avant que le célèbre inspecteur n'arrive.
spokentexts_direktor_top_a10_direktor_verabschieden_erstmalig_tseq_st_5;La façon dont il a résolu le meurtre sur le navire n'est-elle pas fantastique ?
spokentexts_direktor_top_a10_direktor_verabschieden_erstmalig_tseq_st_6_direction;irritiert
spokentexts_direktor_top_a10_direktor_verabschieden_erstmalig_tseq_st_6;Legrand ?
spokentexts_direktor_top_a10_direktor_verabschieden_erstmalig_tseq_st_7;Évidemment ! C'est dans tous les journaux !
spokentexts_direktor_top_a10_direktor_verabschieden_erstmalig_tseq_st_8;Le meurtre de la riche Baronne von Trebitz et comment le célèbre Inspecteur Legrand a identifié le meurtrier en une seule journée.
spokentexts_direktor_top_a10_direktor_verabschieden_erstmalig_tseq_st_10;Le genre de choses qu'on ne voit que dans les légendes. Vous devez vous sentir privilégié de pouvoir profiter de son expérience.
texts_direktor_top_a10_direktor_verabschieden_schatzkammer_erstmalig_tseq_title;Dire au revoir
spokentexts_direktor_top_a10_direktor_verabschieden_schatzkammer_erstmalig_tseq_st_1;Oh, rien. Oubliez.
spokentexts_direktor_top_a10_direktor_verabschieden_schatzkammer_erstmalig_tseq_st_2_direction;sarkastisch
spokentexts_direktor_top_a10_direktor_verabschieden_schatzkammer_erstmalig_tseq_st_2;Merci de votre franchise. Je noterai votre totale coopération dans mon rapport !
spokentexts_direktor_top_a10_direktor_verabschieden_schatzkammer_erstmalig_tseq_st_3_direction;sarkastisch
spokentexts_direktor_top_a10_direktor_verabschieden_schatzkammer_erstmalig_tseq_st_3;Le rapport que vous rendrez à vos supérieurs suisses ? Oh, j'espère que j'y ferai bonne impression !
texts_direktor_top_a10_direktor_verabschieden_schatzkammer_tseq_title;Dire au revoir
spokentexts_direktor_top_a10_direktor_verabschieden_schatzkammer_tseq_st_2_direction;nicht wirklich zufrieden
spokentexts_direktor_top_a10_direktor_verabschieden_schatzkammer_tseq_st_2;Hmm. Merci.
sequences_direktor_top_a10_direktor_verabschieden_schatzkammer_tseq#4;"[Continuing with ""end_conversation"".]"
texts_direktor_top_a10_direktor_verabschieden_tseq_title;Dire au revoir
spokentexts_direktor_top_a10_direktor_verabschieden_tseq_st_1;Bon...
spokentexts_direktor_top_a10_direktor_verabschieden_tseq_st_2;À bientôt, Officier.
texts_direktor_top_a10_direktor_zeitungen_tseq_title;Journaux
spokentexts_direktor_top_a10_direktor_zeitungen_tseq_st_1;Qu'est-ce... Que racontent les journaux exactement ?
spokentexts_direktor_top_a10_direktor_zeitungen_tseq_st_2;Tout ! C'est fantastique ! Quelqu'un à bord a dû immédiatement informer la presse.
spokentexts_direktor_top_a10_direktor_zeitungen_tseq_st_3;Évidemment, cela nous fait une très bonne publicité ! Les reporters seront présents en nombre ce soir !
spokentexts_direktor_top_a10_direktor_zeitungen_tseq_st_4;Et il est noté que Legrand a découvert le meurtrier ?
spokentexts_direktor_top_a10_direktor_zeitungen_tseq_st_5;Bien sûr ! Qui d'autre ?
spokentexts_direktor_top_a10_direktor_zeitungen_tseq_st_6;Eh bien. J'étais aussi de le partie.
spokentexts_direktor_top_a10_direktor_zeitungen_tseq_st_7;Évidemment. Legrand a probablement des assistants. Mais... Il faut rendre à César ce qui est à César, n'est-ce pas ?
spokentexts_direktor_ex_1_st_1;Il est pâle et tremblant. Surement en état de choc.
spokentexts_direktor_ex_2_st_2;Je pourrai peut être en tirer quelque chose dans quelques minutes.
spokentexts_direktor_ex_3_st_1;Le directeur ne me sera d'aucune aide. Que je le veuille ou non, je dois me contenter de l'officier.
spokentexts_direktor_ex_4_st_1;Le directeur semble très sûr de lui. Il n'a pas l'air effrayé par une potentielle visite surprise.
spokentexts_direktor_ex_4_st_2;Fait-il simplement confiance à la technologie ou sait-il quelque chose qui m'échappe ?
spokentexts_direktor_talk_mit_1_st_1;Directeur Mokhtar ?
sequences_direktor_talk_mit_1#2;[The director tries to look up but doesn't really manage to, falls back.]
spokentexts_direktor_talk_mit_1_st_2;Directeur, comment puis-je ouvrir la porte en métal ?
spokentexts_direktor_talk_mit_1_st_3_direction;schwach, fassungslos, zu sich
spokentexts_direktor_talk_mit_1_st_3;Il n'aurait pas dû faire ça...
spokentexts_direktor_talk_mit_1_st_4_direction;will ihn aufrütteln
spokentexts_direktor_talk_mit_1_st_4;Directeur !
sequences_direktor_talk_mit_1#6;[The director looks at Ohi(Idle).]
spokentexts_direktor_talk_mit_1_st_5_direction;verzweifelnd, flehend
spokentexts_direktor_talk_mit_1_st_5;Tous les artefacts de la salle au trésor ! Il les a détruits !
spokentexts_direktor_talk_mit_1_st_6;Et je vais le traîner devant la justice. Mais d'abord il faut que je pénètre à l'intérieur de la salle !
sequences_direktor_talk_mit_1#9;[The director points weakly to the guard's room, then he sits there crumpled again.]
spokentexts_direktor_talk_mit_2_st_1;Directeur Mokhtar ? Je n'arrive pas à ouvrir la porte en métal. Y a-t-il un autre accès à la salle du trésor ?
sequences_direktor_talk_mit_2#6;[The director looks at Ohi (Idle).]
sequences_direktor_talk_mit_2#8;[The director falls back again.]
spokentexts_direktor_talk_mit_2_st_6_direction;schwach, niedergeschlagen
spokentexts_direktor_talk_mit_2_st_6;Non. Un seul accès... Un seul.
spokentexts_direktor_talk_mit_3_st_1;Dites moi, Directeur...
spokentexts_direktor_talk_mit_3_st_2;Oui ?
spokentexts_direktor_talk_mit_4_st_1;Il est vraiment déçu de devoir se contenter de moi au lieu du célèbre Legrand. Abrégeons ses souffrances.
texts_geiger_mo_ex_1;Examiner le violoniste
texts_geiger_mo_talk_mit_1-3;Parler à David Kreutzer
texts_geiger_top_a10_geiger_kairo_tseq_title;Reportages des journaux
spokentexts_geiger_top_a10_geiger_kairo_tseq_st_1;Le journal de ce matin est rempli d'informations concernant les évènements à bord.
spokentexts_geiger_top_a10_geiger_kairo_tseq_st_2;J'ai vu ça.
spokentexts_geiger_top_a10_geiger_kairo_tseq_st_3_direction;Suspects the violinist
spokentexts_geiger_top_a10_geiger_kairo_tseq_st_3;Quelqu'un a dû informer la presse directement sur le navire... Il a surement vendu l'histoire à prix d'or, vous ne pensez pas ?
spokentexts_geiger_top_a10_geiger_kairo_tseq_st_4_direction;melodramatically
spokentexts_geiger_top_a10_geiger_kairo_tseq_st_4;...et encore une fois vous voulez ruiner ma réputation !
spokentexts_geiger_top_a10_geiger_kairo_tseq_st_5;Non, Officier. Je ne suis pas responsable. Ça ne m'a même pas traversé l'esprit.
spokentexts_geiger_top_a10_geiger_kairo_tseq_st_6;Et le responsable était un amateur.
spokentexts_geiger_top_a10_geiger_kairo_tseq_st_7;Pourquoi ?
spokentexts_geiger_top_a10_geiger_kairo_tseq_st_8;L'histoire est dans tous les journaux. Vous pouvez gagner plus d'argent en réservant son exclusivité à un seul journal.
spokentexts_geiger_top_a10_geiger_kairo_tseq_st_9;Qui est le responsable selon vous ?
spokentexts_geiger_top_a10_geiger_kairo_tseq_st_10;Hmm. Le jeune homme, le clandestin ?
spokentexts_geiger_top_a10_geiger_kairo_tseq_st_11;Le capitaine n'a pas porté plainte et l'a laissé filer ce matin. Mais jusqu'alors il était dans sa cellule.
spokentexts_geiger_top_a10_geiger_kairo_tseq_st_12;Peut être Mlle Mayers ? Elle veut peut être faire une carrière d'actrice et avait besoin d'un peu de publicité ?
spokentexts_geiger_top_a10_geiger_kairo_tseq_st_13;Qui que ce soit, il a fait en sorte que l'histoire se propage partout, il ne courrait pas après l'argent. Quelle était donc leur motivation ?
texts_geiger_top_a10_geiger_mordverdacht_tseq_title;Suspicion de meurtre
spokentexts_geiger_top_a10_geiger_mordverdacht_tseq_st_1;Qu'est ce que ça fait d'échapper de justesse à une accusation de meurtre ? Tout cela aurait pu très mal se terminer pour vous.
spokentexts_geiger_top_a10_geiger_mordverdacht_tseq_st_2;"Sans mes ""jeux de détective"", cette croisière aurait pu très mal finir pour vous. Vous étiez soupçonné de meurtre."
spokentexts_geiger_top_a10_geiger_mordverdacht_tseq_st_3;Qu'est ce que ça fait d'échapper de justesse à une accusation de meurtre ? Tout cela aurait pu très mal se terminer pour vous.
spokentexts_geiger_top_a10_geiger_mordverdacht_tseq_st_4;Vous n'aviez pas d'alibi, c'était votre arme...
spokentexts_geiger_top_a10_geiger_mordverdacht_tseq_st_5;Je dois admettre qu'il y a plus agréable que d'être malmené par l'Inspecteur Legrand.
spokentexts_geiger_top_a10_geiger_mordverdacht_tseq_st_6;Votre tendance à fouiner m'a vraiment sorti du pétrin cette fois. M'avez-vous soupçonné à un moment ?
spokentexts_geiger_top_a10_geiger_mordverdacht_tseq_st_7;De meurtre ? Non. Vous êtes trop intelligent pour tuer quelqu'un avec votre propre pistolet sans préparer un alibi pour l'heure du crime.
texts_geiger_top_a10_geiger_museumsgaeste_tseq_title;Visiteurs du musée
spokentexts_geiger_top_a10_geiger_museumsgaeste_tseq_st_1;On dirait qu'un grand nombre de passagers du bateau sont là ce matin.
spokentexts_geiger_top_a10_geiger_museumsgaeste_tseq_st_2;Pratiquement tout le monde !
spokentexts_geiger_top_a10_geiger_museumsgaeste_tseq_st_3;J'ai discuté brièvement avec le majordome de la Baronne. Entre vous et moi, il semblait assez heureux d'être débarrassé de la vieille peau.
spokentexts_geiger_top_a10_geiger_museumsgaeste_tseq_st_4_direction;furious
spokentexts_geiger_top_a10_geiger_museumsgaeste_tseq_st_4;Monsieur Kreutzer !
spokentexts_geiger_top_a10_geiger_museumsgaeste_tseq_st_5_direction;offensive
spokentexts_geiger_top_a10_geiger_museumsgaeste_tseq_st_5;La jeune Mlle Mayers était là également. Malheureusement elle semble s'être volatilisée à nouveau.
spokentexts_geiger_top_a10_geiger_museumsgaeste_tseq_st_6;Oubliez la. Elle est fiancée.
spokentexts_geiger_top_a10_geiger_museumsgaeste_tseq_st_7;Et la vieille sorcière, son aide et son gamin sont ici aussi.
spokentexts_geiger_top_a10_geiger_museumsgaeste_tseq_st_8;Qu'avez vous contre Lady Westmacott ?
spokentexts_geiger_top_a10_geiger_museumsgaeste_tseq_st_9;Cette femme est plus dure que la reine de la nuit. Elle a chassé son propre fils, un coeur de pierre.
spokentexts_geiger_top_a10_geiger_museumsgaeste_tseq_st_10;Je l'ai rencontré brièvement. Il est parti en Amérique car il ne pouvait plus la supporter.
spokentexts_geiger_top_a10_geiger_museumsgaeste_tseq_st_11_direction;disapprovingly, then decidedly commercial
spokentexts_geiger_top_a10_geiger_museumsgaeste_tseq_st_11;Hmm. Un des invités a-t-il agi de façon étrange ? Quelqu'un était-il particulièrement intéressé par la salle au trésor ou le système de sécurité ?
spokentexts_geiger_top_a10_geiger_museumsgaeste_tseq_st_12;Aucune idée. Je suis venu vérifier l'acoustique du musée avant de revenir pour le gala de ce soir. Vos jeux de détective ne m'intéressent pas.
texts_geiger_top_a10_geiger_verabschieden_tseq_title;Dire au revoir
spokentexts_geiger_top_a10_geiger_verabschieden_tseq_st_1;Je ne voulais pas vous déranger !
spokentexts_geiger_top_a10_geiger_verabschieden_tseq_st_2;C'est déjà fait.
sequences_geiger_top_a10_geiger_verabschieden_tseq#3;[end of the dialogue]
spokentexts_geiger_top_a10_geiger_verabschieden_tseq_st_3_direction;als Verabschiedung
spokentexts_geiger_top_a10_geiger_verabschieden_tseq_st_3;En tout cas, j'ai hâte d'assister au concert !
spokentexts_geiger_top_a10_geiger_verabschieden_tseq_st_4;Ce sera une nuit inoubliable !
spokentexts_geiger_ex_1_st_1;Mr Kreutzer sera responsable de la musique de fond pour l'inauguration ce soir.
spokentexts_geiger_ex_1_st_2;A-t-il autre chose de prévu ?
sequences_geiger_talk_mit_1#1;[The violinist stands there checking the acoustic. He could pluck a string from time to time, then move the bow over the strings and look around.]
spokentexts_geiger_talk_mit_1_st_1;Comment est l'acoustique, Mr Kreutzer ?
